year,export,import
1952,0.010504025,-0.01001194
1953,0.009095512,-0.009108163
1954,0.012197869,-0.010435228
1955,0.008517594,-0.010112301
1956,0.013826591,-0.010007052
1957,0.013471558,-0.010007277
1958,0.014664465,-0.01002044
1959,0.019980226,-0.013337341
1960,0.023979673,-0.020440387
1961,0.019892253,-0.015031277
1962,0.016248683,-0.009680528
1963,0.015570009,-0.00889726
1964,0.014895223,-0.009007514
1965,0.014477564,-0.010359114
1966,0.013144477,-0.010517194
1967,0.011166943,-0.008673682
1968,0.011467103,-0.008843787
1969,0.010108519,-0.007222613
1970,0.008254177,-0.007163669
1971,0.009025092,-0.006436007
1972,0.011164648,-0.007932294
1973,0.015435086,-0.011852709
1974,0.020222167,-0.019069774
1975,0.019434867,-0.01780697
1976,0.019106777,-0.01636154
1977,0.017685134,-0.015467152
1978,0.018336244,-0.017726993
1979,0.022515329,-0.021945041
1980,0.028238717,-0.027720146
1981,0.036205344,-0.033275958
1982,0.036393289,-0.02823008
1983,0.034068037,-0.027580893
1984,0.036412772,-0.031607352
1985,0.033810548,-0.04298424
1986,0.029929658,-0.03330522
1987,0.034053814,-0.029332001
1988,0.039832607,-0.038187411
1989,0.03519135,-0.034106806
1990,0.042450204,-0.029365374
1991,0.042564638,-0.030132033
1992,0.050740838,-0.041790452
1993,0.050404515,-0.052459594
1994,0.065662898,-0.055999141
1995,0.068312414,-0.059597805
1996,0.073747426,-0.063007794
1997,0.093755528,-0.070730723
1998,0.097133942,-0.071606375
1999,0.098152742,-0.078753196
2000,0.113268569,-0.094080143
2001,0.113326691,-0.095080152
2002,0.124117821,-0.103048027
2003,0.140019581,-0.11987514
2004,0.146116301,-0.124564521
2005,0.165034205,-0.123543434
2006,0.186121017,-0.132407516
2007,0.196703464,-0.136020705
2008,0.20136179,-0.146398783
2009,0.162725613,-0.13243787
2010,0.180554241,-0.148243964
2011,0.197056085,-0.17148073
2012,0.200919285,-0.168944195
2013,0.205130816,-0.180031419
2014,0.201088071,-0.173829332
2015,0.201230392,-0.160819575
2016,0.183107629,-0.156489864
2017,0.185658038,-0.158887938
2018,0.194900706,-0.177408367
2019,0.19240196,-0.167671964
